Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 4,Sydney University,LOSS,Zach Zafosnik,8,8,16,5,93%,5,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Mitchell Sapiatzer,8,4,12,1,75%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Zach Taiba,3,3,6,2,83%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Ryan Sheers,2,6,8,0,100%,1,22,-,-,-,-,-
Round 4,Sydney University,LOSS,Lachlan Watt,5,2,7,4,71%,1,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Tim Gerogiou,5,2,7,1,100%,1,12,-,-,-,-,-
Round 4,Sydney University,LOSS,Lachlan McNamara,9,9,18,2,94%,4,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Riley Martin,9,5,14,8,100%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Nathan Price,5,4,9,6,66%,1,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Adam Storey,1,2,3,2,100%,1,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Riley Fream,11,8,19,8,100%,3,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Jacob Zalac,5,2,7,3,100%,2,-,-,-,-,-,-
Round 4,Sydney University,LOSS,William Gamble,12,7,19,3,100%,3,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Corey Hardy,4,1,5,1,80%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Patrick Sapiatzer,4,1,5,1,80%,1,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Keegan Passlow,10,3,13,0,76%,2,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Bailey Sims,7,1,8,5,75%,3,5,-,-,-,-,-
Round 4,Sydney University,LOSS,Shane Doherty,6,2,8,1,75%,2,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Chad Porter,4,1,5,2,100%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Luke Major,3,3,6,1,100%,0,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Jack McCulloch,3,6,9,3,88%,1,-,-,-,-,-,-
Round 4,Sydney University,LOSS,Cruz Martin,4,1,5,0,80%,0,-,-,-,-,-,-