Round,Quarter,Time Period,Match Result,Camden,Opposition,Differential,Camden Momentum,Opposition Momentum,Camden Quarter Score,Opposition Quarter Score
Round 8,Quarter 1, 0-2,LOSS,2,2,0,-,-,0,17
Round 8,Quarter 1, 2-4,LOSS,0,5,-5,-,-5,0,17
Round 8,Quarter 1, 4-6,LOSS,0,7,-7,-,-7,0,17
Round 8,Quarter 1, 6-8,LOSS,2,5,-3,-,-3,0,17
Round 8,Quarter 1, 8-10,LOSS,2,2,0,-,-,0,17
Round 8,Quarter 1, 10-12,LOSS,1,7,-6,-,-6,0,17
Round 8,Quarter 1, 12-14,LOSS,1,4,-3,-,-3,0,17
Round 8,Quarter 1, 14-16,LOSS,0,2,-2,-,-2,0,17
Round 8,Quarter 1, 16-18,LOSS,1,6,-5,-,-5,0,17
Round 8,Quarter 1, 18-20,LOSS,4,4,0,-,-,0,17
Round 8,Quarter 1, 20-22,LOSS,4,2,2,2,-,0,17
Round 8,Quarter 2, 0-2,LOSS,0,5,-5,-,-5,8,36
Round 8,Quarter 2, 2-4,LOSS,2,6,-4,-,-4,8,36
Round 8,Quarter 2, 4-6,LOSS,2,3,-1,-,-1,8,36
Round 8,Quarter 2, 6-8,LOSS,1,4,-3,-,-3,8,36
Round 8,Quarter 2, 8-10,LOSS,4,3,1,1,-,8,36
Round 8,Quarter 2, 10-12,LOSS,10,2,8,8,-,8,36
Round 8,Quarter 2, 12-14,LOSS,0,5,-5,-,-5,8,36
Round 8,Quarter 2, 14-16,LOSS,9,2,7,7,-,8,36
Round 8,Quarter 2, 16-18,LOSS,2,2,0,-,-,8,36
Round 8,Quarter 2, 18-20,LOSS,2,3,-1,-,-1,8,36
Round 8,Quarter 2, 20-22,LOSS,1,5,-4,-,-4,8,36
Round 8,Quarter 3, 0-2,LOSS,1,4,-3,-,-3,20,66
Round 8,Quarter 3, 2-4,LOSS,1,6,-5,-,-5,20,66
Round 8,Quarter 3, 4-6,LOSS,1,0,1,1,-,20,66
Round 8,Quarter 3, 6-8,LOSS,1,4,-3,-,-3,20,66
Round 8,Quarter 3, 8-10,LOSS,4,4,0,-,-,20,66
Round 8,Quarter 3, 10-12,LOSS,2,0,2,2,-,20,66
Round 8,Quarter 3, 12-14,LOSS,4,4,0,-,-,20,66
Round 8,Quarter 3, 14-16,LOSS,8,0,8,8,-,20,66
Round 8,Quarter 3, 16-18,LOSS,7,1,6,6,-,20,66
Round 8,Quarter 3, 18-20,LOSS,2,8,-6,-,-6,20,66
Round 8,Quarter 3, 20-22,LOSS,4,4,0,-,-,20,66
Round 8,Quarter 4, 0-2,LOSS,8,0,8,8,-,38,75
Round 8,Quarter 4, 2-4,LOSS,4,1,3,3,-,38,75
Round 8,Quarter 4, 4-6,LOSS,0,6,-6,-,-6,38,75
Round 8,Quarter 4, 6-8,LOSS,0,7,-7,-,-7,38,75
Round 8,Quarter 4, 8-10,LOSS,2,3,-1,-,-1,38,75
Round 8,Quarter 4, 10-12,LOSS,2,1,1,1,-,38,75
Round 8,Quarter 4, 12-14,LOSS,3,9,-6,-,-6,38,75
Round 8,Quarter 4, 14-16,LOSS,8,1,7,7,-,38,75
Round 8,Quarter 4, 16-18,LOSS,5,0,5,5,-,38,75
Round 8,Quarter 4, 18-20,LOSS,4,2,2,2,-,38,75
Round 8,Quarter 4, 20-22,LOSS,0,3,-3,-,-3,38,75